Unique_ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,unit_faculty,demographic_sex
21,23,2.78,33.19,80.16,25.77,23,8.7,86.96,65.22,8.7,8.7,0,8.7,0,0,0,0,0,8.7,8.7,8.7,26.09,4.35,13.04,0,0,0,4.35,0,0,0,0,0,0,0,13.04,0,0,0,0,43.48,8.7,13.04,8.7,21.74,0,21.74,0,0,0,0,0,0,0,0,0,8.7,8.7,0,0,0,0,0,17.39,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43,0,17.39,0,0,4.35,0,0,8.7,0,0,0,Faculty of Information Technology,M
1099,113,98.97,46.46,34.35,41.79,28.25,15.04,68.14,46.02,1.77,0,0,0,0,0,0,1.77,12.39,17.7,7.96,1.77,7.08,0,9.73,4.42,4.42,0.88,7.96,1.77,2.65,1.77,0.88,0,0,0,0.88,0,0,0,0,4.42,0,0,2.65,0,0,1.77,0,0,0,0,1.77,0.88,0.88,0,0.88,5.31,0.88,1.77,1.77,0.88,0.88,4.42,4.42,0,19.47,0,7.08,11.5,1.77,0.88,0,0,0,0,0.88,0,0.88,0,0,0,24.78,3.54,1.77,0.88,0.88,0,0,5.31,0,0,4.42,7.96,Faculty of Information Technology,M
101,37,63.24,98.4,4.5,99,9.25,18.92,83.78,51.35,13.51,5.41,0,0,5.41,0,0,8.11,10.81,10.81,5.41,8.11,10.81,0,16.22,0,0,5.41,0,2.7,8.11,8.11,0,0,0,0,18.92,0,2.7,0,0,13.51,0,2.7,2.7,5.41,2.7,2.7,0,0,0,0,0,0,0,0,0,2.7,2.7,0,0,0,0,0,16.22,2.7,10.81,2.7,0,8.11,5.41,0,0,0,0,0,0,0,0,0,0,0,18.92,0,2.7,0,0,8.11,0,0,0,2.7,5.41,0,Faculty of Information Technology,M
3042,298,92.27,40.72,10.35,20.67,99.33,21.14,28.52,6.04,1.01,0.67,0.67,0,0,0,0,0.34,0,3.02,2.01,0,0.34,0.67,2.68,0.67,0,0,30.54,1.68,0.34,0,0.34,0,0,0,0.67,0,0,0,0,7.05,2.35,2.01,0,1.34,0.34,1.68,1.01,1.01,0,0,0.34,0,0.34,0,0,2.01,0,0.67,1.68,0,0,1.01,1.34,1.68,8.72,0.34,3.02,5.37,1.34,0,0,0.34,0,0,1.01,0,0,0,0,1.01,63.42,2.68,4.7,30.2,0,0,0,0.67,0,0.34,11.41,13.42,Faculty of Information Technology,F
3468,21,11.05,50,99,95.81,10.5,14.29,90.48,52.38,28.57,23.81,19.05,0,4.76,0,0,4.76,0,9.52,14.29,0,0,4.76,19.05,0,0,0,4.76,0,4.76,4.76,0,0,0,0,23.81,0,0,0,0,9.52,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,14.29,9.52,4.76,4.76,0,0,0,9.52,0,19.05,9.52,9.52,4.76,14.29,4.76,9.52,0,0,0,0,0,0,0,0,0,14.29,0,9.52,0,0,4.76,0,0,0,0,0,0,Faculty of Information Technology,M
1290,22,93.26,50,31.94,94.75,11,18.18,72.73,45.45,13.64,4.55,4.55,0,0,0,0,9.09,9.09,13.64,4.55,0,4.55,0,13.64,0,0,0,4.55,0,4.55,4.55,0,0,0,0,4.55,0,0,0,0,9.09,4.55,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,13.64,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,9.09,4.55,0,0,0,0,0,0,0,0,0,Faculty of Information Technology,M
532,77,86.99,21.79,65.41,49.97,38.5,14.29,77.92,57.14,6.49,2.6,2.6,0,0,0,0,3.9,10.39,18.18,12.99,3.9,7.79,2.6,12.99,1.3,1.3,2.6,1.3,0,1.3,1.3,0,0,0,0,2.6,0,1.3,0,1.3,10.39,0,5.19,0,0,0,5.19,0,0,0,0,0,0,0,0,0,7.79,1.3,5.19,0,2.6,0,6.49,9.09,0,15.58,6.49,6.49,2.6,1.3,0,0,0,0,0,0,0,0,0,0,0,9.09,3.9,1.3,0,0,2.6,0,0,0,1.3,0,0,Faculty of Information Technology,M
2207,8,93.26,50,1,25.77,8,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,12.5,0,0,0,0,0,12.5,0,0,0,62.5,Faculty of Information Technology,M
2120,135,89.09,55.89,21.65,99,22.5,23.7,88.89,48.89,8.89,2.96,1.48,0,1.48,0,0,5.93,10.37,13.33,5.19,6.67,6.67,0,11.11,8.15,2.96,0.74,0.74,2.96,6.67,6.67,0,0,0,0,2.22,0,0,0,0,9.63,2.96,3.7,0.74,1.48,0.74,0.74,5.93,5.19,0,0,1.48,0,1.48,0,0,5.93,0,4.44,0,1.48,0,1.48,9.63,0,11.85,1.48,5.19,5.19,4.44,2.22,0.74,1.48,0,0,0,0,0,0,0,0,7.41,2.96,0.74,0,0,0,1.48,0.74,1.48,0,0,0,Faculty of Information Technology,F
2588,121,62.4,71.85,68.95,98.69,15.12,16.53,85.95,54.55,19.01,13.22,5.79,0,6.61,0,0.83,5.79,8.26,11.57,5.79,6.61,4.96,0,14.88,4.13,4.96,0.83,3.31,2.48,5.79,5.79,0,0,0,0,10.74,0,0,0,0,17.36,6.61,2.48,3.31,2.48,0.83,5.79,4.96,3.31,0.83,0.83,0.83,0,0,0,0,4.96,1.65,0,0.83,2.48,0,0.83,9.09,0,9.09,2.48,5.79,0.83,2.48,0,0,0,0,0,1.65,0,0,0,1.65,0,10.74,4.96,0.83,0,0,0,1.65,0.83,0,2.48,0,0,Faculty of Information Technology,M
